Province,StationID,Name,Latitude,Longitude,Postal Code,Date/Time,Year,Month,Day,Time,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/2/2017 3:00,2017,1,2,3:00,-5,,-6,,93,,22,,2,,,,97.96,,,,-6,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/2/2017 4:00,2017,1,2,4:00,-7,,-8.1,,92,,,,0,,,,97.92,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/2/2017 5:00,2017,1,2,5:00,-7.3,,-8.4,,92,,,,0,,,,97.93,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/2/2017 6:00,2017,1,2,6:00,-7.4,,-8.5,,92,,,,0,,,,97.97,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/2/2017 7:00,2017,1,2,7:00,-8.4,,-9.6,,91,,,,0,,,,97.98,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/2/2017 8:00,2017,1,2,8:00,-9.1,,-10.3,,91,,,,0,,,,97.99,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/2/2017 9:00,2017,1,2,9:00,-10,,-11.3,,90,,0,,1,,,,98.06,,,,-11,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/2/2017 10:00,2017,1,2,10:00,-6.3,,-8.8,,82,,13,,2,,,,98.12,,,,-7,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/2/2017 11:00,2017,1,2,11:00,-1.9,,-5.6,,76,,11,,3,,,,98.08,,,,-3,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/2/2017 12:00,2017,1,2,12:00,0.7,,-4.6,,68,,12,,7,,,,98.02,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/2/2017 13:00,2017,1,2,13:00,1,,-4.6,,66,,11,,9,,,,97.92,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/2/2017 14:00,2017,1,2,14:00,1.5,,-4.8,,63,,12,,6,,,,97.91,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/2/2017 15:00,2017,1,2,15:00,1.1,,-4.5,,66,,11,,5,,,,97.87,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/2/2017 16:00,2017,1,2,16:00,-0.1,,-4.2,,74,,12,,4,,,,97.78,,,,-1,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/2/2017 17:00,2017,1,2,17:00,-3.1,,-4.7,,89,,,,0,,,,97.77,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/2/2017 18:00,2017,1,2,18:00,-2.9,,-5.3,,83,,5,,2,,,,97.69,,,,-4,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/2/2017 19:00,2017,1,2,19:00,-3.7,,-6.2,,83,,7,,2,,,,97.65,,,,-5,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/2/2017 20:00,2017,1,2,20:00,-2.3,,-5,,81,,8,,4,,,,97.63,,,,-4,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/2/2017 21:00,2017,1,2,21:00,-2.1,,-5,,81,,9,,4,,,,97.49,,,,-4,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/2/2017 22:00,2017,1,2,22:00,-2,,-5.1,,79,,10,,5,,,,97.35,,,,-4,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/2/2017 23:00,2017,1,2,23:00,-2.3,,-4.7,,83,,10,,4,,,,97.44,,,,-4,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/3/2017 0:00,2017,1,3,0:00,-2.6,,-3.8,,92,,10,,3,,,,97.25,,,,-4,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/3/2017 1:00,2017,1,3,1:00,-2.5,,-3.4,,93,,11,,2,,,,97.19,,,,-3,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/3/2017 2:00,2017,1,3,2:00,-2.1,,-2.9,,94,,11,,6,,,,97.13,,,,-4,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/3/2017 3:00,2017,1,3,3:00,-1.7,,-2.8,,92,,11,,7,,,,97.02,,,,-4,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/3/2017 4:00,2017,1,3,4:00,-1.5,,-2.6,,92,,10,,4,,,,96.93,,,,-3,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/3/2017 5:00,2017,1,3,5:00,-1.3,,-2.3,,93,,6,,2,,,,96.78,,,,-2,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/3/2017 6:00,2017,1,3,6:00,-1.5,,-2.6,,93,,11,,4,,,,96.66,,,,-3,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/3/2017 7:00,2017,1,3,7:00,-1.5,,-2.5,,93,,7,,2,,,,96.59,,,,-2,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/3/2017 8:00,2017,1,3,8:00,-1.9,,-2.9,,93,,8,,3,,,,96.53,,,,-3,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/3/2017 9:00,2017,1,3,9:00,-2.1,,-3,,93,,10,,3,,,,96.49,,,,-3,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/3/2017 10:00,2017,1,3,10:00,-2,,-2.9,,94,,10,,4,,,,96.42,,,,-3,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/3/2017 11:00,2017,1,3,11:00,-2,,-2.9,,93,,5,,2,,,,96.35,,,,-3,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/3/2017 12:00,2017,1,3,12:00,-1.9,,-2.7,,94,,10,,3,,,,96.22,,,,-3,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/3/2017 13:00,2017,1,3,13:00,-1.9,,-2.6,,95,,10,,5,,,,96.05,,,,-4,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/3/2017 14:00,2017,1,3,14:00,-2,,-2.8,,95,,11,,6,,,,95.99,,,,-4,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/3/2017 15:00,2017,1,3,15:00,-1.7,,-2.6,,94,,9,,2,,,,95.9,,,,-2,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/3/2017 16:00,2017,1,3,16:00,-1.4,,-2.4,,93,,4,,3,,,,95.82,,,,-2,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/3/2017 17:00,2017,1,3,17:00,-1.2,,-2.2,,93,,8,,2,,,,95.68,,,,-2,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/3/2017 18:00,2017,1,3,18:00,-1,,-2,,93,,7,,2,,,,95.6,,,,-2,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/3/2017 19:00,2017,1,3,19:00,-1.3,,-2.4,,93,,7,,2,,,,95.51,,,,-2,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/3/2017 20:00,2017,1,3,20:00,-1.5,,-2.5,,93,,4,,1,,,,95.41,,,,-2,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/3/2017 21:00,2017,1,3,21:00,-1.5,,-2.4,,93,,,,0,,,,95.27,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/3/2017 22:00,2017,1,3,22:00,-1.5,,-2.4,,93,,9,,2,,,,95.14,,,,-2,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/3/2017 23:00,2017,1,3,23:00,-1.6,,-2.6,,93,,6,,1,,,,95.03,,,,-2,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/4/2017 0:00,2017,1,4,0:00,-1.7,,-2.6,,93,,0,,1,,,,94.91,,,,-2,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/4/2017 1:00,2017,1,4,1:00,-1.7,,-2.6,,94,,,,0,,,,94.81,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/4/2017 2:00,2017,1,4,2:00,-1.8,,-2.5,,95,,,,0,,,,94.74,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/4/2017 3:00,2017,1,4,3:00,-1.8,,-2.4,,95,,,,0,,,,94.68,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/4/2017 4:00,2017,1,4,4:00,-1.7,,-2.5,,95,,,,0,,,,94.59,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/4/2017 5:00,2017,1,4,5:00,-1.7,,-2.5,,95,,,,0,,,,94.52,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/4/2017 6:00,2017,1,4,6:00,-1.7,,-2.5,,95,,,,0,,,,94.4,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/4/2017 7:00,2017,1,4,7:00,-1.6,,-2.3,,95,,,,0,,,,94.39,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/4/2017 8:00,2017,1,4,8:00,-0.9,,-1.9,,93,,26,,6,,,,94.41,,,,-3,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/4/2017 9:00,2017,1,4,9:00,-1.1,,-2.3,,92,,27,,4,,,,94.39,,,,-2,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/4/2017 10:00,2017,1,4,10:00,-1,,-2.7,,88,,26,,7,,,,94.37,,,,-4,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/4/2017 11:00,2017,1,4,11:00,-1.7,,-3.5,,87,,28,,5,,,,94.41,,,,-4,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/4/2017 12:00,2017,1,4,12:00,-2.5,,-4.9,,84,,27,,8,,,,94.39,,,,-6,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/4/2017 13:00,2017,1,4,13:00,-2.5,,-4.9,,83,,29,,5,,,,94.37,,,,-4,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/4/2017 14:00,2017,1,4,14:00,-3.6,,-5.8,,85,,27,,7,,,,94.45,,,,-7,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/4/2017 15:00,2017,1,4,15:00,-4.6,,-8,,77,,26,,9,,,,94.5,,,,-8,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/4/2017 16:00,2017,1,4,16:00,-5.6,,-7.8,,84,,26,,5,,,,94.51,,,,-8,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/4/2017 17:00,2017,1,4,17:00,-5.8,,-7.4,,88,,25,,4,,,,94.53,,,,-8,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/4/2017 18:00,2017,1,4,18:00,-7.3,,-10.3,,79,,27,,12,,,,94.62,,,,-13,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/4/2017 19:00,2017,1,4,19:00,-7.6,,-9.5,,87,,27,,7,,,,94.67,,,,-11,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/4/2017 20:00,2017,1,4,20:00,-7.9,,-10.5,,82,,26,,10,,,,94.68,,,,-13,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/4/2017 21:00,2017,1,4,21:00,-8.1,,-9.6,,89,,27,,8,,,,94.68,,,,-12,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/4/2017 22:00,2017,1,4,22:00,-8.9,,-11.6,,81,,27,,8,,,,94.7,,,,-13,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/4/2017 23:00,2017,1,4,23:00,-9.4,,-11.6,,84,,27,,7,,,,94.79,,,,-13,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/5/2017 0:00,2017,1,5,0:00,-10.5,,-13,,82,,29,,6,,,,94.88,,,,-14,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/5/2017 1:00,2017,1,5,1:00,-13.6,,-16.9,,76,,28,,10,,,,95.03,,,,-20,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/5/2017 2:00,2017,1,5,2:00,-14.7,,-17.5,,79,,28,,6,,,,95.08,,,,-19,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/5/2017 3:00,2017,1,5,3:00,-15.1,,-17.7,,81,,28,,5,,,,95.19,,,,-19,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/5/2017 4:00,2017,1,5,4:00,-15.6,,-18.3,,79,,29,,6,,,,95.29,,,,-20,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/5/2017 5:00,2017,1,5,5:00,-15.8,,-18.6,,79,,29,,5,,,,95.36,,,,-20,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/5/2017 6:00,2017,1,5,6:00,-15.8,,-18.3,,81,,28,,4,,,,95.46,,,,-19,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/5/2017 7:00,2017,1,5,7:00,-15.4,,-18.5,,77,,28,,4,,,,95.52,,,,-18,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/5/2017 8:00,2017,1,5,8:00,-16.3,,-19.2,,78,,27,,4,,,,95.58,,,,-19,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/5/2017 9:00,2017,1,5,9:00,-15.9,,-18.6,,79,,26,,4,,,,95.6,,,,-19,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/5/2017 10:00,2017,1,5,10:00,-12.2,,-16.6,,70,,29,,7,,,,95.64,,,,-17,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/5/2017 11:00,2017,1,5,11:00,-10.6,,-14.8,,71,,25,,6,,,,95.72,,,,-14,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/5/2017 12:00,2017,1,5,12:00,-10,,-14.4,,70,,26,,8,,,,95.7,,,,-14,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/5/2017 13:00,2017,1,5,13:00,-10.4,,-14,,75,,25,,7,,,,95.69,,,,-14,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/5/2017 14:00,2017,1,5,14:00,-10.2,,-13.5,,77,,25,,4,,,,95.68,,,,-13,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/5/2017 15:00,2017,1,5,15:00,-10,,-13.4,,76,,26,,4,,,,95.72,,,,-12,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/5/2017 16:00,2017,1,5,16:00,-10.5,,-13.4,,80,,27,,3,,,,95.76,,,,-12,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/5/2017 17:00,2017,1,5,17:00,-10.8,,-13.2,,82,,27,,2,,,,95.78,,,,-12,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/5/2017 18:00,2017,1,5,18:00,-10.9,,-12.9,,85,,,,0,,,,95.8,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/5/2017 19:00,2017,1,5,19:00,-11.1,,-13,,86,,0,,1,,,,95.87,,,,-12,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/5/2017 20:00,2017,1,5,20:00,-11,,-12.8,,87,,,,0,,,,95.89,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/5/2017 21:00,2017,1,5,21:00,-11,,-12.7,,87,,0,,1,,,,95.94,,,,-12,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/5/2017 22:00,2017,1,5,22:00,-11,,-12.6,,87,,25,,1,,,,95.98,,,,-12,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/5/2017 23:00,2017,1,5,23:00,-11.4,,-13.3,,86,,24,,3,,,,96.02,,,,-13,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/6/2017 0:00,2017,1,6,0:00,-12.5,,-14.4,,86,,24,,3,,,,96.05,,,,-14,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/6/2017 1:00,2017,1,6,1:00,-13.1,,-15.1,,85,,24,,3,,,,96.07,,,,-15,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/6/2017 2:00,2017,1,6,2:00,-14.1,,-16.1,,85,,0,,1,,,,96.13,,,,-15,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/6/2017 3:00,2017,1,6,3:00,-17.6,,-19.7,,83,,,,0,,,,96.22,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/6/2017 4:00,2017,1,6,4:00,-19.7,,-22,,82,,0,,1,,,,96.25,,,,-21,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/6/2017 5:00,2017,1,6,5:00,-20,,-22.3,,82,,,,0,,,,96.27,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/6/2017 6:00,2017,1,6,6:00,-21,,-23.5,,81,,,,0,,,,96.35,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/6/2017 7:00,2017,1,6,7:00,-20.6,,-22.9,,82,,,,0,,,,96.4,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/6/2017 8:00,2017,1,6,8:00,-20.9,,-23.2,,82,,,,0,,,,96.47,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/6/2017 9:00,2017,1,6,9:00,-18.8,,-21.2,,81,,,,0,,,,96.52,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/6/2017 10:00,2017,1,6,10:00,-15.7,,-18.8,,77,,,,0,,,,96.62,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/6/2017 11:00,2017,1,6,11:00,-11.2,,-14.2,,78,,22,,1,,,,96.63,,,,-12,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/6/2017 12:00,2017,1,6,12:00,-9.9,,-13.2,,77,,20,,3,,,,96.63,,,,-12,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/6/2017 13:00,2017,1,6,13:00,-9.8,,-12.5,,81,,24,,4,,,,96.67,,,,-12,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/6/2017 14:00,2017,1,6,14:00,-9.6,,-12.2,,82,,22,,3,,,,96.71,,,,-11,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/6/2017 15:00,2017,1,6,15:00,-9.6,,-12.2,,81,,24,,3,,,,96.74,,,,-11,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/6/2017 16:00,2017,1,6,16:00,-10.4,,-12.6,,84,,35,,3,,,,96.83,,,,-12,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/6/2017 17:00,2017,1,6,17:00,-11.1,,-13.2,,84,,32,,1,,,,96.93,,,,-12,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/6/2017 18:00,2017,1,6,18:00,-11.9,,-14.1,,84,,,,0,,,,97.01,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/6/2017 19:00,2017,1,6,19:00,-12.9,,-14.8,,86,,,,0,,,,97.1,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/6/2017 20:00,2017,1,6,20:00,-17.2,,-19.4,,82,,,,0,,,,97.16,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/6/2017 21:00,2017,1,6,21:00,-19.2,,-21.5,,82,,0,,1,,,,97.22,,,,-20,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/6/2017 22:00,2017,1,6,22:00,-21.3,,-23.6,,82,,,,0,,,,97.27,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/6/2017 23:00,2017,1,6,23:00,-23.4,,-25.9,,80,,0,,1,,,,97.34,,,,-24,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/7/2017 0:00,2017,1,7,0:00,-24.5,,-27.2,,78,,,,0,,,,97.35,,,,,,NA
ON,42967,ALGONQUIN PARK EAST GATE,45.53,-78.27,P0A,1/7/2017 1:00,2017,1,7,1:00,-25.7,,-28.4,,78,,,,0,,,,97.38,,,,,,NA
